"","emp_percent","excl_percent","earn_ratio","pc_live","pc_secure","pc_voted","pc_voted.1","hp_ratio","AccScore","Cluster","include"
"E01006113",60.6580829756795,6.29194630872483,4.4907155606967,82.7195467422096,86.0045146726862,73.7028301886792,70.872641509434,12.1444166666667,0,5,"YES"
"E01006114",60.2484472049689,8.06686046511628,3.88581898141304,78.0487804878049,87.5510204081633,70.8629441624365,69.5431472081218,10.8333051247031,0,5,"YES"
"E01006115",61.8090452261307,9.87748851454824,3.7971856647719,83.9907192575406,93.0555555555556,74.57805907173,71.8354430379747,11.8337346557487,0,4,"YES"
"E01006116",78.2542113323124,5.0656660412758,3.91611746966704,81.25,91.6820702402957,76.878612716763,75.3757225433526,9.25040474905559,0,3,"YES"
"E01006117",77.0557029177719,4.84351713859911,3.79353398336181,85.5595667870036,91.9047619047619,76.937618147448,77.7882797731569,12.2952507767421,0,3,"YES"
"E01006118",72.2873900293255,7.85123966942149,3.98606825662105,78.1456953642384,92.9824561403509,72.7175080558539,69.3877551020408,10.9387962962963,0,4,"YES"
"E01006119",78.1795511221945,5.22273425499232,3.95655162816909,83.0795262267343,92.412746585736,75.5681818181818,76.3257575757576,12.3102476985368,0,3,"YES"
"E01006120",80.5513016845329,4.18848167539267,4.225,81.5789473684211,90.3846153846154,76.5199161425576,79.874213836478,12.2297429078014,0,2,"YES"
"E01006121",75.6680731364276,5.49180327868852,3.87987649162181,79.8479087452472,91.2068965517241,72.8008088978766,75.0252780586451,8.39985714285714,3,3,"YES"
"E01006122",74.0979381443299,3.87755102040816,4.17168462319495,85.2427184466019,88.961038961039,74.9137931034483,79.3965517241379,10.1003070175439,0,2,"YES"
"E01006123",78.0678851174935,4.68053491827637,3.94646096477255,80.2218114602588,92.0840064620355,80.6150978564772,74.7437092264678,11.9760338796545,0,3,"YES"
"E01006124",78.4522003034901,3.33055786844296,4.27106655098486,84.5841784989858,89.1608391608392,81.5494393476045,82.059123343527,13.8713877785269,1,2,"YES"
"E01006125",74.8159057437408,7.0774354704413,3.91061452513966,82.051282051282,92.5512104283054,75.1289989680082,72.4458204334365,11.9268865941811,1,3,"YES"
"E01006126",70.7474226804124,8.50909090909091,3.70071539104896,80.1217038539554,93.9716312056738,68.9149560117302,68.2306940371456,8.12025567690207,1,4,"YES"
"E01006127",78.0653950953678,6.28480509148767,4.28515367108519,80.2946593001842,90.6497622820919,77.8112449799197,75.6024096385542,10.6281667638397,1,3,"YES"
"E01006128",80.5330243337196,5.02035278154681,3.64363857374392,85.3932584269663,91.6548797736917,78.8990825688073,77.7314428690575,8.93990964556844,0,3,"YES"
"E01006129",70.6451612903226,7.12423979148566,4.3343653250774,81.8840579710145,92.8416485900217,67.9515418502203,75.6607929515419,11.5836316691243,1,4,"YES"
"E01006130",79.2325056433409,5.04555010511563,3.85185546875,84.9358974358974,92.7989130434783,79.9307958477509,78.0276816608996,9.543375,0,3,"YES"
"E01006131",79.5973154362416,4.62020360219264,3.93161324224638,84.0823970037453,88,80.9108527131783,77.1317829457364,10.5246153846154,0,3,"YES"
"E01006132",78.3602150537634,6.05815831987076,4.00751494358348,82.5278810408922,91.5032679738562,79.0954773869347,73.7688442211055,10.2554650545835,0,3,"YES"
"E01006133",78.2113821138211,4.0133779264214,3.92156479779412,83.9175257731959,91.8181818181818,76.4408493427705,77.0475227502528,11.5434649122807,1,3,"YES"
"E01006134",74.7460087082729,3.38563170933113,6.38628353631604,88.1188118811881,89.0310786106033,87.037037037037,83.2304526748971,47.0961904761905,3,2,"YES"
"E01006135",74.198250728863,3.62056480811007,4.48155841499802,84.8780487804878,92.0152091254753,86.3000931966449,81.1742777260019,20.2542836217824,1,2,"YES"
"E01006136",72.8486646884273,3.198127925117,4.3848974913122,87.192118226601,88.5122410546139,84.9,80.6,24.3482192044251,2,2,"YES"
"E01006137",68.9230769230769,3.73913043478261,4.70790753863053,87.9452054794521,87.5259875259875,83.6622807017544,79.9342105263158,26.7792728427403,5,2,"YES"
"E01006138",72.551724137931,5.0408719346049,4.16666666666667,84.9137931034483,92.0774647887324,77.3684210526316,76.7543859649123,15.4243898843837,0,2,"YES"
"E01006139",77.8617710583153,4.23429781227946,4.1834524908687,85.6677524429967,89.0066225165563,87.4675885911841,78.8245462402766,12.9061192893528,0,2,"YES"
"E01006140",77.0128354725788,4.08320493066256,4.48281031271975,86.0670194003527,89.2908827785818,87.3465533522191,78.6591123701605,15.4065759095613,0,2,"YES"
"E01006141",68.6567164179104,7.86604361370716,4.43,79.6680497925311,90.4332129963899,72.9701952723535,71.7368961973279,9.39587054183667,0,4,"YES"
"E01006142",70.5882352941177,7.43338008415147,4.04467072998007,80.511811023622,90.3945111492281,75.5083179297597,73.6598890942699,7.61258955987717,0,4,"YES"
"E01006143",76.1511216056671,5.85223116313094,4.15198167424647,82.842287694974,91.2721893491124,81.6939890710383,75.9562841530055,12.707939856156,0,2,"YES"
"E01006144",63.84,11.7173524150268,3.96830297009699,78.90625,91.0344827586207,73.5732009925558,65.3846153846154,6.69398770578811,0,4,"YES"
"E01006145",63.75,8.58283433133733,4.23566758209074,75.6410256410256,88.8288288288288,71.9634703196347,71.324200913242,7.19027777777778,0,4,"YES"
"E01006146",71.6803760282021,4.65282748747316,4.16780775521572,80.1136363636364,92.0634920634921,77.6819923371648,74.7126436781609,11.9175660261472,0,3,"YES"
"E01006147",79.1021671826625,3.93626991565136,3.61904761904762,86.6807610993658,91.2962962962963,83.9224629418472,81.8700114025086,12.560878840441,0,2,"YES"
"E01006148",72.4672228843862,5.60053981106613,4.32156292658793,84.6007604562738,88.6942675159236,84.0329218106996,80.5761316872428,14.3788287096879,0,2,"YES"
"E01006149",76.0989010989011,5.05212510024058,4.15312698702759,86.1224489795918,89.8778359511344,80.4703476482618,76.9938650306748,10.6690241699808,0,2,"YES"
"E01006150",78.2022471910112,4.19122462344466,3.79263263301089,87.6847290640394,92.1237693389592,83.578431372549,78.7581699346405,7.61255292351718,0,3,"YES"
"E01006151",79.512893982808,2.71348762968875,5.45485760846941,84.4827586206897,89.2074198988196,84.6989141164857,81.243830207305,16.8078284656851,0,2,"YES"
"E01006152",77.7468706536857,3.03928836174944,4.2224206660011,85.513078470825,89.1447368421053,83.5125448028674,82.8853046594982,18.7992409867173,0,2,"YES"
"E01006153",77.1428571428572,3.81558028616852,3.97149332682292,83.5758835758836,91.9354838709677,82.8202581926514,80.8341608738828,12.4169524760076,4,2,"YES"
"E01006154",80.7643312101911,4.99569336778639,3.871700725423,85.3242320819113,92.7621861152142,88.1002087682672,80.3757828810021,9.69692366190332,1,3,"YES"
"E01006155",73.9517153748412,6.1128526645768,3.70627681054104,80.1457194899818,89.8894154818325,77.7668952007836,74.6327130264447,9.91685563114135,2,3,"YES"
"E01006156",72.5130890052356,8.55161787365177,3.81094736842105,84.4660194174757,92.7175843694494,76.8218623481781,70.5465587044534,8.61031697108708,1,4,"YES"
"E01006157",74.4578313253012,4.860088365243,4.08559678653677,79.1150442477876,91.7316692667707,78.2139352306182,75.1717369970559,8.62925347222222,2,3,"YES"
"E01006158",70.9638554216867,8.26627651792246,3.58075822174442,76.7485822306238,92.2442244224422,70.8050436469447,68.6711930164888,8.93091490981007,0,4,"YES"
"E01006159",68.6674669867947,9.89660265878877,3.71310749937151,77.4809160305344,92.3875432525952,72.3684210526316,67.2064777327935,8.20198522430672,0,4,"YES"
"E01006160",73.5185185185185,7.27673649393605,3.16425156146693,85.8630952380952,89.8368883312422,80.1140413399857,72.9864575908767,7.40539682539683,1,3,"YES"
"E01006161",78.6610878661088,4.80920020909566,3.33373366617204,86.6017052375152,90.5759162303665,85.9625668449198,75.8021390374332,7.8899408647176,1,3,"YES"
"E01006162",81.9209039548023,4.20664206642066,3.75166201007019,84.9765258215963,90.5080213903743,89.8289828982898,80.1980198019802,13.2274708292008,1,2,"YES"
