Area,Increase,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H,Band I,notes
Rushcliffe,3.32%,"£1,416.26 ","£1,652.30 ","£1,888.34 ","£2,124.39 ","£2,596.48 ","£3,068.56 ","£3,540.65 ","£4,248.78 ",,
Rutland,3.27%,"£1,463.17 ","£1,707.03 ","£1,950.90 ","£2,194.76 ","£2,682.48 ","£3,170.21 ","£3,657.93 ","£4,389.52 ",,
Ryedale,3.02%,"£1,342.42 ","£1,566.16 ","£1,789.89 ","£2,013.63 ","£2,461.10 ","£2,908.58 ","£3,356.05 ","£4,027.26 ",,
Salford,3.89%,"£1,343.31 ","£1,567.19 ","£1,791.07 ","£2,014.96 ","£2,462.73 ","£2,910.50 ","£3,358.27 ","£4,029.92 ",,
Sandwell,3.56%,"£1,161.05 ","£1,354.55 ","£1,548.06 ","£1,741.57 ","£2,128.59 ","£2,515.60 ","£2,902.62 ","£3,483.14 ",,
Scarborough,2.80%,"£1,347.62 ","£1,572.22 ","£1,796.82 ","£2,021.43 ","£2,470.64 ","£2,919.84 ","£3,369.05 ","£4,042.86 ",,
Sedgemoor,5.01%,"£1,285.46 ","£1,499.70 ","£1,713.94 ","£1,928.19 ","£2,356.68 ","£2,785.16 ","£3,213.65 ","£3,856.38 ",,
Sefton,5.05%,"£1,371.40 ","£1,599.97 ","£1,828.53 ","£2,057.10 ","£2,514.23 ","£2,971.37 ","£3,428.50 ","£4,114.20 ",,
Selby,3.10%,"£1,336.67 ","£1,559.45 ","£1,782.23 ","£2,005.01 ","£2,450.57 ","£2,896.12 ","£3,341.68 ","£4,010.02 ",,
Sevenoaks,4.75%,"£1,357.71 ","£1,584.00 ","£1,810.28 ","£2,036.57 ","£2,489.14 ","£2,941.71 ","£3,394.28 ","£4,073.14 ",,
Sheffield,5.13%,"£1,330.69 ","£1,552.47 ","£1,774.26 ","£1,996.04 ","£2,439.60 ","£2,883.17 ","£3,326.73 ","£3,992.08 ",,
Shropshire,4.11%,"£1,283.83 ","£1,497.80 ","£1,711.77 ","£1,925.74 ","£2,353.68 ","£2,781.62 ","£3,209.57 ","£3,851.48 ",,
Slough,5.10%,"£1,196.71 ","£1,396.16 ","£1,595.62 ","£1,795.07 ","£2,193.97 ","£2,592.88 ","£2,991.78 ","£3,590.14 ",,
Solihull,3.96%,"£1,146.73 ","£1,337.85 ","£1,528.97 ","£1,720.09 ","£2,102.33 ","£2,484.57 ","£2,866.82 ","£3,440.18 ",,
Somerset West & Taunton,4.74%,"£1,266.47 ","£1,477.55 ","£1,688.63 ","£1,899.71 ","£2,321.87 ","£2,744.02 ","£3,166.18 ","£3,799.42 ",,
South Cambridgeshire,3.37%,"£1,314.03 ","£1,533.03 ","£1,752.03 ","£1,971.04 ","£2,409.05 ","£2,847.06 ","£3,285.07 ","£3,942.08 ",,
South Derbyshire,2.96%,"£1,265.53 ","£1,476.45 ","£1,687.37 ","£1,898.29 ","£2,320.13 ","£2,741.97 ","£3,163.82 ","£3,796.58 ",,
South Gloucestershire,4.83%,"£1,348.27 ","£1,572.98 ","£1,797.69 ","£2,022.40 ","£2,471.82 ","£2,921.24 ","£3,370.67 ","£4,044.80 ",,
South Hams,5.01%,"£1,393.70 ","£1,625.98 ","£1,858.26 ","£2,090.55 ","£2,555.12 ","£3,019.68 ","£3,484.25 ","£4,181.10 ",,
South Holland,2.63%,"£1,237.01 ","£1,443.17 ","£1,649.34 ","£1,855.51 ","£2,267.85 ","£2,680.18 ","£3,092.52 ","£3,711.02 ",,
South Kesteven,2.60%,"£1,224.99 ","£1,429.15 ","£1,633.31 ","£1,837.48 ","£2,245.81 ","£2,654.14 ","£3,062.47 ","£3,674.96 ",,
South Lakeland,3.60%,"£1,343.12 ","£1,566.97 ","£1,790.82 ","£2,014.68 ","£2,462.39 ","£2,910.09 ","£3,357.80 ","£4,029.36 ",,
South Norfolk,4.02%,"£1,329.65 ","£1,551.26 ","£1,772.87 ","£1,994.48 ","£2,437.70 ","£2,880.91 ","£3,324.13 ","£3,988.96 ",,
South Oxfordshire,3.54%,"£1,356.66 ","£1,582.77 ","£1,808.88 ","£2,034.99 ","£2,487.21 ","£2,939.43 ","£3,391.65 ","£4,069.98 ",,
South Ribble,3.83%,"£1,327.56 ","£1,548.82 ","£1,770.08 ","£1,991.34 ","£2,433.86 ","£2,876.38 ","£3,318.90 ","£3,982.68 ",,
South Somerset,4.67%,"£1,308.00 ","£1,526.00 ","£1,744.00 ","£1,962.00 ","£2,398.00 ","£2,834.00 ","£3,270.00 ","£3,924.00 ",,
South Staffordshire,4.76%,"£1,242.55 ","£1,449.64 ","£1,656.74 ","£1,863.83 ","£2,278.01 ","£2,692.20 ","£3,106.38 ","£3,727.66 ",,
South Tyneside,3.94%,"£1,281.91 ","£1,495.56 ","£1,709.21 ","£1,922.86 ","£2,350.16 ","£2,777.46 ","£3,204.77 ","£3,845.72 ",,
Southampton,5.12%,"£1,294.19 ","£1,509.88 ","£1,725.58 ","£1,941.28 ","£2,372.68 ","£2,804.07 ","£3,235.47 ","£3,882.56 ",,
Southend-on-Sea,3.91%,"£1,189.80 ","£1,388.10 ","£1,586.40 ","£1,784.70 ","£2,181.30 ","£2,577.90 ","£2,974.50 ","£3,569.40 ",,
Southwark,6.03%,"£1,018.53 ","£1,188.29 ","£1,358.04 ","£1,527.80 ","£1,867.31 ","£2,206.82 ","£2,546.33 ","£3,055.60 ",,
Spelthorne,2.65%,"£1,359.80 ","£1,586.43 ","£1,813.06 ","£2,039.70 ","£2,492.97 ","£2,946.23 ","£3,399.50 ","£4,079.40 ",,
St Albans,4.26%,"£1,278.88 ","£1,492.03 ","£1,705.17 ","£1,918.32 ","£2,344.61 ","£2,770.91 ","£3,197.20 ","£3,836.64 ",,
St Helens,5.03%,"£1,275.37 ","£1,487.93 ","£1,700.50 ","£1,913.06 ","£2,338.18 ","£2,763.31 ","£3,188.43 ","£3,826.12 ",,
Stafford,4.71%,"£1,243.79 ","£1,451.08 ","£1,658.38 ","£1,865.68 ","£2,280.28 ","£2,694.87 ","£3,109.47 ","£3,731.36 ",,
Staffordshire Moorlands,4.71%,"£1,260.26 ","£1,470.30 ","£1,680.34 ","£1,890.39 ","£2,310.48 ","£2,730.56 ","£3,150.65 ","£3,780.78 ",,
Stevenage,4.18%,"£1,269.47 ","£1,481.04 ","£1,692.62 ","£1,904.20 ","£2,327.36 ","£2,750.51 ","£3,173.67 ","£3,808.40 ",,
Stockport,3.48%,"£1,372.77 ","£1,601.56 ","£1,830.35 ","£2,059.15 ","£2,516.74 ","£2,974.33 ","£3,431.92 ","£4,118.30 ",,
Stockton-on-Tees,3.51%,"£1,384.19 ","£1,614.89 ","£1,845.59 ","£2,076.29 ","£2,537.69 ","£2,999.08 ","£3,460.48 ","£4,152.58 ",,
Stoke-on-Trent,4.99%,"£1,161.87 ","£1,355.52 ","£1,549.16 ","£1,742.81 ","£2,130.10 ","£2,517.39 ","£2,904.68 ","£3,485.62 ",,
Stratford-on-Avon,3.48%,"£1,333.84 ","£1,556.15 ","£1,778.45 ","£2,000.76 ","£2,445.37 ","£2,889.99 ","£3,334.60 ","£4,001.52 ",,
Stroud,4.37%,"£1,328.62 ","£1,550.06 ","£1,771.49 ","£1,992.93 ","£2,435.80 ","£2,878.68 ","£3,321.55 ","£3,985.86 ",,
Sunderland,4.84%,"£1,182.47 ","£1,379.55 ","£1,576.63 ","£1,773.71 ","£2,167.87 ","£2,562.02 ","£2,956.18 ","£3,547.42 ",,
Surrey Heath,2.84%,"£1,389.13 ","£1,620.65 ","£1,852.18 ","£2,083.70 ","£2,546.74 ","£3,009.79 ","£3,472.83 ","£4,167.40 ",,
Sutton,5.45%,"£1,237.71 ","£1,443.99 ","£1,650.27 ","£1,856.56 ","£2,269.13 ","£2,681.70 ","£3,094.27 ","£3,713.12 ",,
Swale,4.82%,"£1,289.89 ","£1,504.87 ","£1,719.85 ","£1,934.83 ","£2,364.79 ","£2,794.75 ","£3,224.72 ","£3,869.66 ",,
Swindon,5.13%,"£1,281.19 ","£1,494.72 ","£1,708.26 ","£1,921.79 ","£2,348.85 ","£2,775.92 ","£3,202.98 ","£3,843.58 ",,
Tameside,4.72%,"£1,275.96 ","£1,488.62 ","£1,701.28 ","£1,913.94 ","£2,339.26 ","£2,764.58 ","£3,189.90 ","£3,827.88 ",,
Tamworth,4.76%,"£1,243.24 ","£1,450.45 ","£1,657.65 ","£1,864.86 ","£2,279.27 ","£2,693.69 ","£3,108.10 ","£3,729.72 ",,
Tandridge,2.93%,"£1,391.67 ","£1,623.61 ","£1,855.55 ","£2,087.50 ","£2,551.39 ","£3,015.28 ","£3,479.17 ","£4,175.00 ",,
Teignbridge,4.92%,"£1,399.65 ","£1,632.92 ","£1,866.19 ","£2,099.47 ","£2,566.02 ","£3,032.57 ","£3,499.12 ","£4,198.94 ",,
