,LSOA11CD
213260,S01010054
213261,S01009781
213262,S01009860
213263,S01009939
213264,S01010171
213265,S01010166
213266,S01010167
213267,S01010121
213268,S01010119
213269,S01010107
213270,S01010112
213271,S01010112
213272,S01010112
213273,S01010112
213274,S01010112
213275,S01010112
213276,S01010114
213277,S01010114
213278,S01010114
213279,S01010114
213280,S01010122
213281,S01010111
213282,S01010106
213283,S01010111
213284,S01010037
213285,S01010048
213286,S01010054
213287,S01010048
213288,S01009896
213289,S01009971
213290,S01009971
213291,S01009971
213292,S01009977
213293,S01009975
213294,S01009975
213295,S01009975
213296,S01009975
213297,S01009977
213298,S01009992
213299,S01009992
213300,S01009979
213301,S01009978
213302,S01009978
213303,S01009978
213304,S01009984
213305,S01009982
213306,S01009982
213307,S01009981
213308,S01009981
213309,S01009981
213310,S01009980
213311,S01009980
213312,S01010111
213313,S01010054
213314,S01010245
213315,S01009939
213316,S01010245
213317,S01010067
213318,S01010122
213319,S01009939
213320,S01009846
213321,S01010066
213322,S01010110
213323,S01010055
213324,S01009781
213325,S01009939
213326,S01009846
213327,S01010058
213328,S01010122
213329,S01010045
213330,S01009939
213331,S01009783
213332,S01009848
213333,S01010056
213334,S01010049
213335,S01010132
213336,S01010133
213337,S01010135
213338,S01010132
213339,S01010143
213340,S01010141
213341,S01010146
213342,S01010146
213343,S01010065
213344,S01010066
213345,S01010065
213346,S01010077
213347,S01010179
213348,S01010179
213349,S01010179
213350,S01010179
213351,S01010180
213352,S01010181
213353,S01010184
213354,S01010183
213355,S01010173
213356,S01010157
213357,S01010157
213358,S01010163
213359,S01010163
213360,S01010178
213361,S01010178
213362,S01010178
213363,S01010177
213364,S01010177
213365,S01010177
213366,S01010177
213367,S01010168
213368,S01010160
213369,S01010123
213370,S01010121
213371,S01010120
213372,S01010118
213373,S01010118
213374,S01010127
213375,S01010111
213376,S01010105
213377,S01010054
213378,S01010054
213379,S01009974
213380,S01009783
213381,S01009865
213382,S01009848
213383,S01010050
213384,S01010053
213385,S01010046
213386,S01010021
213387,S01009973
213388,S01009973
213389,S01009974
213390,S01009988
213391,S01009986
213392,S01009987
213393,S01009978
213394,S01009978
213395,S01009834
213396,S01009805
213397,S01009805
213398,S01009799
213399,S01009775
213400,S01009775
213401,S01009781
213402,S01009780
213403,S01009781
213404,S01009767
213405,S01010331
213406,S01010168
213407,S01009778
213408,S01009777
213409,S01010024
213410,S01010478
213411,S01010501
213412,S01010502
213413,S01010232
213414,S01010215
213415,S01010324
213416,S01010325
213417,S01010325
213418,S01010333
213419,S01010245
213420,S01010161
213421,S01010128
213422,S01010126
213423,S01010119
213424,S01009861
213425,S01009844
213426,S01009847
213427,S01009845
213428,S01009977
213429,S01009845
213430,S01009845
213431,S01009782
213432,S01009989
213433,S01009848
213434,S01010272
213435,S01009780
213436,S01009848
213437,S01009840
213438,S01009854
213439,S01009850
213440,S01009828
213441,S01009826
213442,S01009826
213443,S01009827
213444,S01009827
213445,S01009827
213446,S01009825
213447,S01009825
213448,S01009825
213449,S01009823
213450,S01009824
213451,S01009786
213452,S01009786
213453,S01009786
213454,S01009805
213455,S01009803
213456,S01009800
213457,S01009802
213458,S01009800
213459,S01009799
213460,S01009799
213461,S01009801
213462,S01009801
213463,S01009799
213464,S01009799
213465,S01009801
213466,S01009788
213467,S01009778
213468,S01009785
213469,S01009785
213470,S01009785
213471,S01009784
213472,S01009784
213473,S01009784
213474,S01009784
213475,S01009787
213476,S01009787
213477,S01009787
213478,S01009787
213479,S01009986
213480,S01009942
213481,S01009823
213482,S01009778
213483,S01009778
213484,S01009785
213485,S01009785
213486,S01009783
213487,S01010223
213488,S01010179
213489,S01010179
213490,S01009777
213491,S01010400
213492,S01010400
213493,S01010400
213494,S01010415
