,LSOA11CD
172212,S01007655
172213,S01007655
172214,S01007676
172215,S01007671
172216,S01007658
172217,S01007658
172218,S01007659
172219,S01007672
172220,S01007671
172221,S01007649
172222,S01007646
172223,S01007646
172224,S01007646
172225,S01007646
172226,S01007651
172227,S01007650
172228,S01007650
172229,S01007650
172230,S01007650
172231,S01007568
172232,S01007597
172233,S01007630
172234,S01007596
172235,S01007596
172236,S01007596
172237,S01007595
172238,S01007571
172239,S01007571
172240,S01007571
172241,S01007564
172242,S01007564
172243,S01007569
172244,S01007535
172245,S01007565
172246,S01007577
172247,S01007576
172248,S01007504
172249,S01007556
172250,S01007579
172251,S01007509
172252,S01007569
172253,S01007577
172254,S01007504
172255,S01007481
172256,S01007577
172257,S01007505
172258,S01007481
172259,S01007577
172260,S01007577
172261,S01007576
172262,S01007577
172263,S01007576
172264,S01007576
172265,S01007576
172266,S01007575
172267,S01007576
172268,S01007583
172269,S01007583
172270,S01007582
172271,S01007578
172272,S01007578
172273,S01007578
172274,S01007576
172275,S01007555
172276,S01007575
172277,S01007575
172278,S01007575
172279,S01007575
172280,S01007580
172281,S01007580
172282,S01007580
172283,S01007580
172284,S01007580
172285,S01007581
172286,S01007581
172287,S01007644
172288,S01007557
172289,S01007552
172290,S01007553
172291,S01007552
172292,S01007679
172293,S01007577
172294,S01007486
172295,S01007486
172296,S01007504
172297,S01007496
172298,S01007481
172299,S01007497
172300,S01007498
172301,S01007481
172302,S01007498
172303,S01007672
172304,S01007503
172305,S01007663
172306,S01007552
172307,S01007501
172308,S01007628
172309,S01007500
172310,S01007544
172311,S01007628
172312,S01007500
172313,S01007545
172314,S01007500
172315,S01007627
172316,S01007547
172317,S01007496
172318,S01007607
172319,S01007546
172320,S01007495
172321,S01007494
172322,S01007495
172323,S01007541
172324,S01007560
172325,S01007646
172326,S01007567
172327,S01007627
172328,S01007566
172329,S01007599
172330,S01007598
172331,S01007570
172332,S01007558
172333,S01007566
172334,S01007544
172335,S01007524
172336,S01007530
172337,S01007530
172338,S01007531
172339,S01007533
172340,S01007521
172341,S01007547
172342,S01007551
172343,S01007520
172344,S01007546
172345,S01007544
172346,S01007607
172347,S01007544
172348,S01007604
172349,S01007604
172350,S01007545
172351,S01007604
172352,S01007524
172353,S01007602
172354,S01007524
172355,S01007601
172356,S01007525
172357,S01007605
172358,S01007605
172359,S01007603
172360,S01007591
172361,S01007593
172362,S01007572
172363,S01007585
172364,S01007585
172365,S01007570
172366,S01007594
172367,S01007620
172368,S01007635
172369,S01007561
172370,S01007600
172371,S01007605
172372,S01007539
172373,S01007539
172374,S01007524
172375,S01007531
172376,S01007531
172377,S01007538
172378,S01007538
172379,S01007538
172380,S01007521
172381,S01007523
172382,S01007533
172383,S01007549
172384,S01007538
172385,S01007548
172386,S01007548
172387,S01007547
172388,S01007547
172389,S01007549
172390,S01007549
172391,S01007551
172392,S01007551
172393,S01007551
172394,S01007551
172395,S01007551
172396,S01007551
172397,S01007550
172398,S01007550
172399,S01007505
172400,S01007552
172401,S01007650
172402,S01007535
172403,S01007666
172404,S01007552
172405,S01007553
172406,S01007553
172407,S01007554
172408,S01007554
172409,S01007633
172410,S01007560
172411,S01007557
172412,S01007641
172413,S01007641
172414,S01007681
172415,S01007650
172416,S01007499
172417,S01007527
172418,S01007526
172419,S01007483
172420,S01007679
172421,S01007599
172422,S01007574
172423,S01007544
172424,S01007593
172425,S01007658
172426,S01007497
172427,S01007527
172428,S01007496
172429,S01007483
172430,S01007520
172431,S01007536
172432,S01007536
172433,S01007662
172434,S01007662
172435,S01007665
172436,S01007663
172437,S01007677
172438,S01007599
172439,S01007599
172440,S01007574
172441,S01007594
172442,S01007622
172443,S01007622
172444,S01007622
172445,S01007637
172446,S01007636
172447,S01007553
172448,S01007623
172449,S01007650
172450,S01007664
172451,S01007612
172452,S01007612
172453,S01007589
172454,S01007590
172455,S01007490
172456,S01007584
172457,S01007597
172458,S01007630
172459,S01007492
172460,S01007583
172461,S01007672
172462,S01007519
172463,S01007539
172464,S01007535
172465,S01007575
172466,S01007679
172467,S01007517
172468,S01007672
172469,S01007616
172470,S01007587
172471,S01007620
172472,S01007560
172473,S01007572
172474,S01007493
172475,S01007615
172476,S01007606
172477,S01007608
172478,S01007606
172479,S01007607
172480,S01007593
172481,S01007588
172482,S01007570
172483,S01007630
172484,S01007598
172485,S01007582
172486,S01007498
172487,S01007667
172488,S01007621
172489,S01007627
172490,S01007626
172491,S01007626
172492,S01007526
172493,S01007528
172494,S01007529
172495,S01007496
172496,S01007491
172497,S01007487
172498,S01007489
172499,S01007482
172500,S01007540
172501,S01007542
172502,S01007537
172503,S01007534
172504,S01007534
172505,S01007513
172506,S01007514
172507,S01007662
172508,S01007662
172509,S01007661
172510,S01007661
172511,S01007616
172512,S01007609
172513,S01007609
172514,S01007592
172515,S01007593
172516,S01007587
172517,S01007573
172518,S01007565
172519,S01007544
172520,S01007544
172521,S01007548
172522,S01007505
172523,S01007527
172524,S01007527
172525,S01007529
172526,S01007529
172527,S01007529
172528,S01007529
172529,S01007496
172530,S01007493
172531,S01007489
172532,S01007498
172533,S01007491
172534,S01007481
