FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value
S01006362,S01006362,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004892,S01004892,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001727,S01001727,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001728,S01001728,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006361,S01006361,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001730,S01001730,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001729,S01001729,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004143,S01004143,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004145,S01004145,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006364,S01006364,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001724,S01001724,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01004891,S01004891,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006363,S01006363,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004144,S01004144,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01001725,S01001725,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01001726,S01001726,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001735,S01001735,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001736,S01001736,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001734,S01001734,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006358,S01006358,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004140,S01004140,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001737,S01001737,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
