DZ code,DZ name,LA code,LA name,Cluster
S01006812,Mearns North and Inverbervie - 02,S12000034,Aberdeenshire,2.0
S01006813,Mearns North and Inverbervie - 03,S12000034,Aberdeenshire,2.0
S01006814,Mearns North and Inverbervie - 04,S12000034,Aberdeenshire,2.0
S01006815,Mearns North and Inverbervie - 05,S12000034,Aberdeenshire,2.0
S01006816,Mearns North and Inverbervie - 06,S12000034,Aberdeenshire,2.0
S01006817,Mearns North and Inverbervie - 07,S12000034,Aberdeenshire,2.0
S01006818,"Fetteresso, Netherley and Catter - 01",S12000034,Aberdeenshire,2.0
S01006819,"Fetteresso, Netherley and Catter - 02",S12000034,Aberdeenshire,2.0
S01006820,"Fetteresso, Netherley and Catter - 03",S12000034,Aberdeenshire,2.0
S01006821,"Fetteresso, Netherley and Catter - 04",S12000034,Aberdeenshire,2.0
S01006822,"Fetteresso, Netherley and Catter - 05",S12000034,Aberdeenshire,2.0
S01006823,Stonehaven South - 01,S12000034,Aberdeenshire,2.0
S01006824,Stonehaven South - 02,S12000034,Aberdeenshire,2.0
S01006825,Stonehaven South - 03,S12000034,Aberdeenshire,2.0
S01006826,Stonehaven South - 04,S12000034,Aberdeenshire,2.0
S01006827,Stonehaven South - 05,S12000034,Aberdeenshire,2.0
S01006828,Stonehaven South - 06,S12000034,Aberdeenshire,2.0
S01006829,Stonehaven South - 07,S12000034,Aberdeenshire,2.0
S01006830,Stonehaven North - 01,S12000034,Aberdeenshire,2.0
S01006831,Stonehaven North - 02,S12000034,Aberdeenshire,2.0
S01006832,Stonehaven North - 03,S12000034,Aberdeenshire,2.0
S01006833,Stonehaven North - 04,S12000034,Aberdeenshire,2.0
S01006834,Stonehaven North - 05,S12000034,Aberdeenshire,2.0
S01006835,Stonehaven North - 06,S12000034,Aberdeenshire,2.0
S01006836,Stonehaven North - 07,S12000034,Aberdeenshire,2.0
S01006837,Stonehaven North - 08,S12000034,Aberdeenshire,2.0
S01006838,Stonehaven North - 09,S12000034,Aberdeenshire,2.0
S01006839,Newtonhill - 01,S12000034,Aberdeenshire,2.0
S01006840,Newtonhill - 02,S12000034,Aberdeenshire,2.0
S01006841,Newtonhill - 03,S12000034,Aberdeenshire,2.0
S01006842,Portlethen - 01,S12000034,Aberdeenshire,2.0
S01006843,Portlethen - 02,S12000034,Aberdeenshire,2.0
S01006844,Portlethen - 03,S12000034,Aberdeenshire,2.0
S01006845,Portlethen - 04,S12000034,Aberdeenshire,2.0
S01006846,Portlethen - 05,S12000034,Aberdeenshire,2.0
S01006847,Portlethen - 06,S12000034,Aberdeenshire,2.0
S01006848,Banchory-Devenick and Findon - 01,S12000034,Aberdeenshire,2.0
S01006849,Banchory-Devenick and Findon - 02,S12000034,Aberdeenshire,2.0
S01006850,Banchory-Devenick and Findon - 03,S12000034,Aberdeenshire,2.0
S01006851,Banchory-Devenick and Findon - 04,S12000034,Aberdeenshire,2.0
S01006852,Banchory-Devenick and Findon - 05,S12000034,Aberdeenshire,2.0
S01006853,"Dunecht, Durris and Drumoak - 01",S12000034,Aberdeenshire,2.0
S01006854,"Dunecht, Durris and Drumoak - 02",S12000034,Aberdeenshire,2.0
S01006855,"Dunecht, Durris and Drumoak - 03",S12000034,Aberdeenshire,2.0
S01006856,"Dunecht, Durris and Drumoak - 04",S12000034,Aberdeenshire,2.0
S01006857,"Dunecht, Durris and Drumoak - 05",S12000034,Aberdeenshire,2.0
S01006858,"Dunecht, Durris and Drumoak - 06",S12000034,Aberdeenshire,2.0
S01006859,Banchory East - 01,S12000034,Aberdeenshire,2.0
S01006860,Banchory East - 02,S12000034,Aberdeenshire,2.0
S01006861,Banchory East - 03,S12000034,Aberdeenshire,2.0
S01006862,Banchory East - 04,S12000034,Aberdeenshire,2.0
S01006863,Banchory East - 05,S12000034,Aberdeenshire,2.0
S01006864,Banchory East - 06,S12000034,Aberdeenshire,2.0
S01006865,Banchory West - 01,S12000034,Aberdeenshire,2.0
S01006866,Banchory West - 02,S12000034,Aberdeenshire,2.0
S01006867,Banchory West - 03,S12000034,Aberdeenshire,2.0
S01006868,Banchory West - 04,S12000034,Aberdeenshire,2.0
S01006869,Crathes and Torphins - 01,S12000034,Aberdeenshire,2.0
S01006870,Crathes and Torphins - 02,S12000034,Aberdeenshire,2.0
S01006871,Crathes and Torphins - 03,S12000034,Aberdeenshire,2.0
S01006872,Crathes and Torphins - 04,S12000034,Aberdeenshire,2.0
S01006873,Crathes and Torphins - 05,S12000034,Aberdeenshire,2.0
S01006874,Crathes and Torphins - 06,S12000034,Aberdeenshire,2.0
S01006875,Cromar and Kildrummy - 01,S12000034,Aberdeenshire,2.0
S01006876,Cromar and Kildrummy - 02,S12000034,Aberdeenshire,2.0
S01006877,Cromar and Kildrummy - 03,S12000034,Aberdeenshire,2.0
S01006878,Cromar and Kildrummy - 04,S12000034,Aberdeenshire,2.0
S01006879,Cromar and Kildrummy - 05,S12000034,Aberdeenshire,2.0
S01006880,Howe of Alford - 01,S12000034,Aberdeenshire,2.0
S01006881,Howe of Alford - 02,S12000034,Aberdeenshire,2.0
S01006882,Howe of Alford - 03,S12000034,Aberdeenshire,2.0
S01006883,Howe of Alford - 04,S12000034,Aberdeenshire,2.0
S01006884,Howe of Alford - 05,S12000034,Aberdeenshire,2.0
S01006885,Howe of Alford - 06,S12000034,Aberdeenshire,2.0
S01006886,Howe of Alford - 07,S12000034,Aberdeenshire,2.0
S01006887,Howe of Alford - 08,S12000034,Aberdeenshire,2.0
S01006888,Howe of Alford - 09,S12000034,Aberdeenshire,2.0
S01006889,Kemnay - 01,S12000034,Aberdeenshire,2.0
S01006890,Kemnay - 02,S12000034,Aberdeenshire,2.0
S01006891,Kemnay - 03,S12000034,Aberdeenshire,2.0
S01006892,Kemnay - 04,S12000034,Aberdeenshire,2.0
S01006893,Kemnay - 05,S12000034,Aberdeenshire,2.0
S01006894,Inverurie North - 01,S12000034,Aberdeenshire,2.0
S01006895,Inverurie North - 02,S12000034,Aberdeenshire,2.0
S01006896,Inverurie North - 03,S12000034,Aberdeenshire,2.0
S01006897,Inverurie North - 04,S12000034,Aberdeenshire,2.0
S01006898,Inverurie North - 05,S12000034,Aberdeenshire,2.0
S01006899,Inverurie North - 06,S12000034,Aberdeenshire,2.0
S01006900,Inverurie North - 07,S12000034,Aberdeenshire,2.0
S01006901,Inverurie North - 08,S12000034,Aberdeenshire,2.0
S01006902,Inverurie South - 01,S12000034,Aberdeenshire,2.0
S01006903,Inverurie South - 02,S12000034,Aberdeenshire,2.0
S01006904,Inverurie South - 03,S12000034,Aberdeenshire,2.0
S01006905,Inverurie South - 04,S12000034,Aberdeenshire,2.0
S01006906,Inverurie South - 05,S12000034,Aberdeenshire,2.0
S01006907,Inverurie South - 06,S12000034,Aberdeenshire,2.0
S01006908,Inverurie South - 07,S12000034,Aberdeenshire,2.0
S01006909,Durno-Chapel of Garioch - 01,S12000034,Aberdeenshire,2.0
S01006910,Durno-Chapel of Garioch - 02,S12000034,Aberdeenshire,2.0
