"","LSOA11CD"
"801","E01033470"
"802","E01012099"
"803","E01012099"
"804","E01032561"
"805","E01012106"
"806","E01012107"
"807","E01012121"
"808","E01012128"
"809","E01012132"
"810","E01012134"
"811","E01033473"
"812","E01012148"
"813","E01012148"
"814","E01012150"
"815","E01012150"
"816","E01012160"
"817","E01012168"
"818","E01033470"
"819","E01012181"
"820","E01033473"
"821","E01012109"
"822","E01012119"
"823","E01012158"
"824","E01012111"
"825","E01012101"
"826","E01012101"
"827","E01012117"
"828","E01012117"
"829","E01012136"
"830","E01012159"
"831","E01012170"
"832","E01012107"
"833","E01012121"
"834","E01012155"
"835","E01012132"
"836","E01012134"
"837","E01012134"
"838","E01012134"
"839","E01012140"
"840","E01012162"
"841","E01012164"
"842","E01012181"
"843","E01012137"
"844","E01012164"
"845","E01012102"
"846","E01012117"
"847","E01012118"
"848","E01033472"
"849","E01033472"
"850","E01012157"
"851","E01012180"
"852","E01012127"
"853","E01012145"
"854","E01012109"
"855","E01012145"
"856","E01012120"
"857","E01012145"
"858","E01032549"
"859","E01012162"
"860","E01012157"
"861","E01012161"
"862","E01012161"
"863","E01033470"
"864","E01012179"
"865","E01012107"
"866","E01012112"
"867","E01012112"
"868","E01012112"
"869","E01012112"
"870","E01012112"
"871","E01012112"
"872","E01012114"
"873","E01012127"
"874","E01012131"
"875","E01012127"
"876","E01012156"
"877","E01033473"
"878","E01012098"
"879","E01012127"
"880","E01012132"
"881","E01012143"
"882","E01012148"
"883","E01012175"
"884","E01012175"
"885","E01033470"
"886","E01012096"
"887","E01012096"
"888","E01012096"
"889","E01012096"
"890","E01012099"
"891","E01012099"
"892","E01012102"
"893","E01012102"
"894","E01012102"
"895","E01012160"
"896","E01012102"
"897","E01012105"
"898","E01012105"
"899","E01012110"
"900","E01012110"
"901","E01012118"
"902","E01012118"
"903","E01033472"
"904","E01012136"
"905","E01033473"
"906","E01033473"
"907","E01012136"
"908","E01012140"
"909","E01012140"
"910","E01012161"
"911","E01012162"
"912","E01012157"
"913","E01012154"
"914","E01012181"
"915","E01012154"
"916","E01033473"
"917","E01012105"
"918","E01012173"
"919","E01012184"
"920","E01012142"
"921","E01012154"
"922","E01012161"
"923","E01012184"
"924","E01012165"
"925","E01012185"
"926","E01012171"
"927","E01012097"
"928","E01012097"
"929","E01012107"
"930","E01012106"
"931","E01012107"
"932","E01032561"
"933","E01012105"
"934","E01012111"
"935","E01033471"
"936","E01033471"
"937","E01033471"
"938","E01012113"
"939","E01012121"
"940","E01012119"
"941","E01012110"
"942","E01012119"
"943","E01012128"
"944","E01012128"
"945","E01012137"
"946","E01012142"
"947","E01012144"
"948","E01012142"
"949","E01012142"
"950","E01012142"
"951","E01012145"
"952","E01032594"
"953","E01012157"
"954","E01012155"
"955","E01012164"
"956","E01012165"
"957","E01012168"
"958","E01012168"
"959","E01012167"
"960","E01012168"
"961","E01012170"
"962","E01012167"
"963","E01012167"
"964","E01012168"
"965","E01012175"
"966","E01012171"
"967","E01012172"
"968","E01012185"
"969","E01012108"
"970","E01012098"
"971","E01012098"
"972","E01012156"
"973","E01012156"
"974","E01012158"
"975","E01012163"
"976","E01012162"
"977","E01012163"
"978","E01012163"
"979","E01012172"
"980","E01012171"
"981","E01032548"
"982","E01012174"
"983","E01012172"
"984","E01012172"
"985","E01012174"
"986","E01012173"
"987","E01012173"
"988","E01012174"
"989","E01012174"
"990","E01012176"
"991","E01012176"
"992","E01012164"
"993","E01012109"
"994","E01012176"
"995","E01012178"
"996","E01012179"
"997","E01012176"
"998","E01012176"
"999","E01012179"
"1000","E01012177"
"1001","E01012178"
"1002","E01012182"
"1003","E01012183"
"1004","E01012182"
"1005","E01012183"
"1006","E01012183"
"1007","E01012186"
"1008","E01012186"
"1009","E01012186"
"1010","E01012186"
"1011","E01012186"
"1012","E01012185"
"1013","E01012185"
"1014","E01012138"
"1015","E01012180"
"1016","E01012138"
"1017","E01012101"
"1018","E01012102"
"1019","E01012118"
"1020","E01012136"
"1021","E01012095"
"1022","E01032548"
"1023","E01012121"
"1024","E01012124"
"1025","E01012130"
"1026","E01012124"
"1027","E01012129"
"1028","E01032548"
"1029","E01012130"
"1030","E01012124"
"1031","E01012124"
"1032","E01012130"
"1033","E01012140"
"1034","E01012139"
"1035","E01012139"
"1036","E01012139"
"1037","E01012158"
"1038","E01012177"
"1039","E01012183"
"1040","E01012182"
"1041","E01012182"
"1042","E01012182"
"1043","E01012132"
"1044","E01012095"
"1045","E01012124"
"1046","E01012101"
"1047","E01012102"
"1048","E01012101"
"1049","E01012110"
"1050","E01012161"
"1051","E01012102"
"1052","E01012100"
"1053","E01012100"
"1054","E01012100"
"1055","E01012100"
"1056","E01012100"
"1057","E01012159"
"1058","E01012159"
"1059","E01012159"
"1060","E01012119"
"1061","E01012109"
"1062","E01012096"
"1063","E01032561"
"1064","E01012121"
"1065","E01012119"
"1066","E01033472"
"1067","E01012164"
"1068","E01012095"
"1069","E01012136"
"1070","E01012097"
"1071","E01012137"
"1072","E01012097"
"1073","E01012137"
"1074","E01012165"
"1075","E01012106"
"1076","E01012144"
"1077","E01012177"
"1078","E01012106"
"1079","E01012144"
"1080","E01012178"
"1081","E01012184"
"1082","E01012095"
"1083","E01012098"
"1084","E01012105"
"1085","E01012109"
"1086","E01032549"
"1087","E01032549"
"1088","E01032548"
"1089","E01012129"
"1090","E01012139"
"1091","E01012146"
"1092","E01032594"
"1093","E01012151"
"1094","E01012152"
"1095","E01012155"
"1096","E01012162"
"1097","E01012177"
"1098","E01012179"
"1099","E01012179"
"1100","E01012180"
"1101","E01012119"
"1102","E01012138"
"1103","E01012138"
"1104","E01012138"
"1105","E01032561"
"1106","E01012108"
"1107","E01012108"
"1108","E01012114"
"1109","E01033471"
"1110","E01033471"
"1111","E01012113"
"1112","E01033471"
"1113","E01012113"
"1114","E01012113"
"1115","E01012113"
"1116","E01012114"
"1117","E01012114"
"1118","E01012114"
"1119","E01012119"
"1120","E01012128"
"1121","E01012131"
"1122","E01012127"
"1123","E01012131"
"1124","E01012151"
"1125","E01012155"
"1126","E01012160"
"1127","E01012165"
"1128","E01033470"
"1129","E01012167"
"1130","E01012172"
"1131","E01012185"
"1132","E01012184"
"1133","E01033472"
"1134","E01012108"
"1135","E01012120"
"1136","E01033472"
"1137","E01032549"
"1138","E01012139"
"1139","E01012141"
"1140","E01012144"
"1141","E01012147"
"1142","E01012147"
"1143","E01012152"
"1144","E01012151"
"1145","E01012154"
"1146","E01012154"
"1147","E01012160"
"1148","E01012160"
"1149","E01012158"
"1150","E01012163"
"1151","E01012167"
"1152","E01012173"
