DZ,DZname,SIMD2020v2_Rank,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,Population,Working_Age_Population,URclass,URname,IZcode,IZname,LAcode,LAname,HBcode,HBname,MMWcode,MMWname,SPCcode,SPCname
S01006552,Hazlehead - 06,6084,18,9,5,5879,6124,5534,6688,1694,5052,6637,884,585,1,Large Urban Areas,S02001243,Hazlehead,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000076,Aberdeen South and North Kincardine
S01006553,Summerhill - 01,5280,16,8,4,5211,4719,5829,4149,2781,4687,4628,903,508,1,Large Urban Areas,S02001244,Summerhill,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000076,Aberdeen South and North Kincardine
S01006554,Summerhill - 02,3924,12,6,3,3537,3857,4216,4396,4460,923,2235,777,491,1,Large Urban Areas,S02001244,Summerhill,S12000033,Aberdeen City,S08000020,Grampian,S13002837,Kingswells/Sheddocksley/Summerhill,S16000075,Aberdeen Donside
S01006555,Summerhill - 03,1608,5,3,2,2495,1432,2039,1362,2597,463,1067,732,537,1,Large Urban Areas,S02001244,Summerhill,S12000033,Aberdeen City,S08000020,Grampian,S13002837,Kingswells/Sheddocksley/Summerhill,S16000075,Aberdeen Donside
S01006556,Summerhill - 04,2292,7,4,2,2037,1937,3187,2261,4613,2882,1660,804,497,1,Large Urban Areas,S02001244,Summerhill,S12000033,Aberdeen City,S08000020,Grampian,S13002837,Kingswells/Sheddocksley/Summerhill,S16000075,Aberdeen Donside
S01006557,Summerhill - 05,1446,5,3,2,1871,1328,1680,1076,1835,3052,2323,679,425,1,Large Urban Areas,S02001244,Summerhill,S12000033,Aberdeen City,S08000020,Grampian,S13002837,Kingswells/Sheddocksley/Summerhill,S16000075,Aberdeen Donside
S01006558,Midstocket - 01,6797,20,10,5,6207,6023.5,6707,6490,6316,4134,2751,596,427,1,Large Urban Areas,S02001245,Midstocket,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006559,Midstocket - 02,6972,20,10,5,6709,6749,6918,6845,6569,4464,5199,601,404,1,Large Urban Areas,S02001245,Midstocket,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006560,Midstocket - 03,6953,20,10,5,6498.5,6817,6720,6048,6116,5547,5876,1018,641,1,Large Urban Areas,S02001245,Midstocket,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006561,Midstocket - 04,6975,20,10,5,6888,6873,6629,6714,6844,3906,6509,728,443,1,Large Urban Areas,S02001245,Midstocket,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006562,Midstocket - 05,4724,14,7,4,4550,3514,5671,4127,3680,4252,4177.5,972,612,1,Large Urban Areas,S02001245,Midstocket,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006563,Midstocket - 06,5035,15,8,4,5609.5,4939,6349,4954,5453,90,2829,677,395,1,Large Urban Areas,S02001245,Midstocket,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
