"DataZone","Name","Council","% of children in poverty"
"S01009981","Glenwood North - 02","Glasgow City",39.7
"S01009982","Glenwood North - 03","Glasgow City",38.8
"S01009983","Glenwood North - 04","Glasgow City",43.5
"S01009984","Glenwood North - 05","Glasgow City",31.7
"S01009985","Glenwood North - 06","Glasgow City",57.6
"S01009986","Castlemilk - 01","Glasgow City",36.8
"S01009987","Castlemilk - 02","Glasgow City",41.5
"S01009988","Castlemilk - 03","Glasgow City",53.2
"S01009989","Castlemilk - 04","Glasgow City",20.6
"S01009990","Castlemilk - 05","Glasgow City",27.2
"S01009991","Castlemilk - 06","Glasgow City",25.2
"S01009992","Castlemilk - 07","Glasgow City",55.2
"S01009993","Kingspark South - 01","Glasgow City",20.4
"S01009994","Kingspark South - 02","Glasgow City",20.2
"S01009995","Kingspark South - 03","Glasgow City",30.8
"S01009996","Kingspark South - 04","Glasgow City",38.8
"S01009997","Kingspark South - 05","Glasgow City",34
"S01009998","Kingspark South - 06","Glasgow City",12.4
"S01009999","Kingspark North - 01","Glasgow City",27.6
"S01010000","Kingspark North - 02","Glasgow City",26
"S01010001","Kingspark North - 03","Glasgow City",31.2
"S01010002","Kingspark North - 04","Glasgow City",25.9
"S01010003","Kingspark North - 05","Glasgow City",20
"S01010004","Kingspark North - 06","Glasgow City",15.2
"S01010005","Cathcart - 01","Glasgow City",25.4
"S01010006","Cathcart - 02","Glasgow City",29.7
"S01010007","Cathcart - 03","Glasgow City",6.2
"S01010008","Cathcart - 04","Glasgow City",26.8
"S01010009","Cathcart - 05","Glasgow City",8.1
"S01010010","Cathcart - 06","Glasgow City",13.8
"S01010011","Mount Florida - 01","Glasgow City",28.6
"S01010012","Mount Florida - 02","Glasgow City",11
"S01010013","Mount Florida - 03","Glasgow City",7.6
"S01010014","Mount Florida - 04","Glasgow City",19
"S01010015","Mount Florida - 05","Glasgow City",24.1
"S01010016","Toryglen and Oatlands - 01","Glasgow City",34.7
"S01010017","Toryglen and Oatlands - 02","Glasgow City",40.1
"S01010018","Toryglen and Oatlands - 03","Glasgow City",37.9
"S01010019","Toryglen and Oatlands - 04","Glasgow City",44.1
"S01010020","Toryglen and Oatlands - 05","Glasgow City",18.4
"S01010021","Toryglen and Oatlands - 06","Glasgow City",30.4
"S01010022","Toryglen and Oatlands - 07","Glasgow City",24.3
"S01010023","Gorbals and Hutchesontown - 01","Glasgow City",82.9
"S01010024","Gorbals and Hutchesontown - 02","Glasgow City",53.8
"S01010025","Gorbals and Hutchesontown - 03","Glasgow City",36.5
"S01010026","Gorbals and Hutchesontown - 04","Glasgow City",30.8
"S01010027","Gorbals and Hutchesontown - 05","Glasgow City",32.5
"S01010028","Gorbals and Hutchesontown - 06","Glasgow City",31.1
"S01010029","Gorbals and Hutchesontown - 07","Glasgow City",58.8
"S01010030","Gorbals and Hutchesontown - 08","Glasgow City",20.6
"S01010031","Laurieston and Tradeston - 01","Glasgow City",25
"S01010032","Laurieston and Tradeston - 02","Glasgow City",13.3
"S01010033","Laurieston and Tradeston - 03","Glasgow City",43
"S01010034","Laurieston and Tradeston - 04","Glasgow City",37.7
"S01010035","Laurieston and Tradeston - 05","Glasgow City",6.6
"S01010036","Laurieston and Tradeston - 06","Glasgow City",18.2
"S01010037","Calton and Gallowgate - 01","Glasgow City",42.4
"S01010038","Calton and Gallowgate - 02","Glasgow City",46
"S01010039","Calton and Gallowgate - 03","Glasgow City",8.8
"S01010040","Calton and Gallowgate - 04","Glasgow City",24.2
"S01010041","Calton and Gallowgate - 05","Glasgow City",14.3
"S01010042","Bridgeton - 01","Glasgow City",28.5
"S01010043","Bridgeton - 02","Glasgow City",57
"S01010044","Bridgeton - 03","Glasgow City",36.2
"S01010045","Bridgeton - 04","Glasgow City",50.3
"S01010046","Dalmarnock - 01","Glasgow City",41.4
"S01010047","Dalmarnock - 02","Glasgow City",59
"S01010048","Dalmarnock - 03","Glasgow City",47.3
"S01010049","Parkhead West and Barrowfield - 01","Glasgow City",40.1
"S01010050","Parkhead West and Barrowfield - 02","Glasgow City",30.2
"S01010051","Parkhead West and Barrowfield - 03","Glasgow City",48.8
"S01010052","Parkhead West and Barrowfield - 04","Glasgow City",38.1
